AI_XW;COLL;NOB;NOB_cor;NOB_mr;NOB_mr_code;ReferenceName;VPVS_XW;WellName;Zone Name
9532.637;0;;;;;2603.1;1.876935;1000PST2;AC 9
9452.218;0;;;;;2603.2;1.877601;1000PST2;AC 9
9332.4;0;;;;;2603.3;1.880322;1000PST2;AC 9
9199.475;0;;;;;2603.4;1.887063;1000PST2;AC 9
9075.824;0;;;;;2603.5;1.897545;1000PST2;AC 9
9027.915;0;;;;;2603.6;1.901661;1000PST2;AC 9
9046.737;0;;;;;2603.7;1.898294;1000PST2;AC 9
9140.013;0;;;;;2603.8;1.886597;1000PST2;AC 9
9256.147;0;;;;;2603.9;1.869614;1000PST2;AC 9
9396.44;0;0;0;;;2604;1.849752;1000PST2;AC 9
9549.705;0;0;0;;;2604.1;1.825076;1000PST2;AC 9
9637.339;0;0;0;;;2604.2;1.806036;1000PST2;AC 9
9641.477;0;0;0;;;2604.3;1.791381;1000PST2;AC 9
9520.943;0;0;0;;;2604.4;1.787317;1000PST2;AC 9
9427.395;0;0;0;;;2604.5;1.786023;1000PST2;AC 9
9337.747;0;0;0;;;2604.6;1.788401;1000PST2;AC 9
9383.316;0;0;0;;;2604.7;1.788597;1000PST2;AC 9
9423.874;0;0;0;;;2604.8;1.79059;1000PST2;AC 9
9535.662;0;0;0;;;2604.9;1.796431;1000PST2;AC 9
9597.39;0;0;0;;;2605;1.807009;1000PST2;AC 9
9596.125;0;0;0;;;2605.1;1.822563;1000PST2;AC 9
9521.43;0;0;0;;;2605.2;1.845473;1000PST2;AC 9
9437.834;0;0;0;;;2605.3;1.860994;1000PST2;AC 9
9421.558;0;0;0;;;2605.4;1.870489;1000PST2;AC 9
9486.229;0;0;0;;;2605.5;1.863982;1000PST2;AC 9
9543.759;0;0;0;;;2605.6;1.857254;1000PST2;AC 9
9593.278;0;0;0;;;2605.7;1.851706;1000PST2;AC 9
9628.608;0;0;0;;;2605.8;1.846596;1000PST2;AC 9
9605.908;0;0;0;;;2605.9;1.847708;1000PST2;AC 9
9550.91;0;0;0;;;2606;1.85298;1000PST2;AC 9
9427.822;0;0;0;;;2606.1;1.863467;1000PST2;AC 9
9395.39;0;0;0;;;2606.2;1.864568;1000PST2;AC 9
9385.87;0;0;0;;;2606.3;1.860781;1000PST2;AC 9
9392.26;0;0;0;;;2606.4;1.854487;1000PST2;AC 9
9442.643;0;0;0;;;2606.5;1.845067;1000PST2;AC 9
9500.971;0;0;0;;;2606.6;1.834141;1000PST2;AC 9
9551.249;0;0;0;;;2606.7;1.825623;1000PST2;AC 9
9663.83;0;0;0;;;2606.8;1.811989;1000PST2;AC 9
9768.562;0;0;0;;;2606.9;1.795923;1000PST2;AC 9
9750.997;0;0;0;;;2607;1.788497;1000PST2;AC 9
9642.096;0;0;0;;;2607.1;1.78249;1000PST2;AC 9
9493.655;0;0;0;;;2607.2;1.778492;1000PST2;AC 9
9369.715;0;0;0;;;2607.3;1.779999;1000PST2;AC 9
9316.799;0;0;0;;;2607.4;1.780562;1000PST2;AC 9
